Date,Open,High,Low,Close,Volume,ChangePercentage
2020-08-27,23.100000381469727,25.0,21.200000762939453,21.219999313354492,82219700,-8.138532628005178
2020-08-28,23.979999542236328,24.399999618530273,22.020000457763672,22.790000915527344,44847300,-4.962463091848781
2020-08-31,22.690000534057617,22.790000915527344,20.329999923706055,20.5,20816000,-9.65183112609642
2020-09-01,20.979999542236328,21.790000915527344,20.100000381469727,21.610000610351562,15291400,3.0028650231709224
2020-09-02,21.989999771118164,22.0,20.3799991607666,21.09000015258789,9090100,-4.092767748512394
2020-09-03,20.93000030517578,21.049999237060547,20.0,20.030000686645508,7897100,-4.30004589301278
2020-09-04,19.979999542236328,20.18000030517578,18.010000228881836,19.030000686645508,10957400,-4.75474913591759
2020-09-08,17.90999984741211,18.559999465942383,17.3700008392334,17.729999542236328,8724000,-1.0050268381313818
2020-09-09,18.575000762939453,18.649999618530273,17.90999984741211,18.06999969482422,5889000,-2.718713579397555
2020-09-10,18.31399917602539,19.5049991607666,18.309999465942383,19.280000686645508,15465200,5.27466175648133
2020-09-11,19.489999771118164,19.549999237060547,18.360000610351562,19.100000381469727,4259700,-2.001023059150415
2020-09-14,19.139999389648438,20.559999465942383,18.3799991607666,20.479999542236328,6296600,7.001045952554252
2020-09-15,20.59000015258789,21.139999389648438,20.260000228881836,21.1200008392334,4332400,2.574068395909622
2020-09-16,20.65999984741211,20.780000686645508,19.6200008392334,19.920000076293945,4053700,-3.5817994994363813
2020-09-17,19.010000228881836,19.670000076293945,19.010000228881836,19.239999771118164,2888000,1.2098871092431156
2020-09-18,19.440000534057617,19.479999542236328,18.860000610351562,18.899999618530273,2789400,-2.77778241096906
2020-09-21,18.270000457763672,18.3799991607666,17.424999237060547,18.149999618530273,5191200,-0.6568190269661716
2020-09-22,18.5,19.579999923706055,18.170000076293945,19.309999465942383,4131300,4.378375491580448
2020-09-23,19.420000076293945,19.420000076293945,18.100000381469727,18.40999984741211,3273900,-5.200825051050058
2020-09-24,18.0,18.170000076293945,17.110000610351562,17.450000762939453,3995300,-3.055551317003038
2020-09-25,17.809999465942383,18.0,17.1200008392334,17.93000030517578,5330800,0.6737835083199921
2020-09-28,19.020000457763672,19.450000762939453,18.5,19.059999465942383,5507500,0.2102997224817834
2020-09-29,19.059999465942383,19.200000762939453,18.530000686645508,18.780000686645508,5833800,-1.4690387573052905
2020-09-30,19.940000534057617,20.09000015258789,19.15999984741211,20.06999969482422,10406000,0.651951641348065
2020-10-01,20.149999618530273,20.229999542236328,18.510000228881836,18.670000076293945,10024400,-7.344911018634938
2020-10-02,18.0,18.559999465942383,17.979999542236328,18.190000534057617,4525000,1.0555585225423179
2020-10-05,19.579999923706055,20.389999389648438,19.219999313354492,20.040000915527344,14572300,2.3493411318370483
2020-10-06,20.440000534057617,20.90999984741211,19.200000762939453,19.700000762939453,7054000,-3.620351036122327
2020-10-07,19.979999542236328,20.59000015258789,19.850000381469727,20.15999984741211,4938600,0.9009024489478749
2020-10-08,20.510000228881836,20.6299991607666,19.719999313354492,19.860000610351562,3516700,-3.169183867755179
2020-10-09,19.75,20.059999465942383,19.510000228881836,20.0,2932100,1.2658227848101267
2020-10-12,20.450000762939453,20.530000686645508,19.760000228881836,19.8799991607666,4898800,-2.787293794168643
2020-10-13,19.700000762939453,19.799999237060547,19.309999465942383,19.639999389648438,3824000,-0.30457548714359933
2020-10-14,20.309999465942383,22.549999237060547,20.18000030517578,22.049999237060547,18302700,8.56720737012303
2020-10-15,21.93000030517578,22.760000228881836,21.049999237060547,22.15999984741211,10449200,1.0487895076866236
2020-10-16,22.979999542236328,23.100000381469727,21.31999969482422,21.770000457763672,6251900,-5.265444336709955
2020-10-19,21.81999969482422,21.93000030517578,19.81999969482422,19.84000015258789,8204100,-9.074241842019783
2020-10-20,20.214000701904297,20.649999618530273,20.0,20.139999389648438,5993600,-0.36608939193757895
2020-10-21,20.200000762939453,20.469999313354492,20.010000228881836,20.420000076293945,4159700,1.0891054705211727
2020-10-22,20.770000457763672,20.889999389648438,20.139999389648438,20.81999969482422,6382600,0.2407281461655314
2020-10-23,20.899999618530273,20.93000030517578,19.950000762939453,20.049999237060547,4465800,-4.066987545378243
2020-10-26,20.059999465942383,20.280000686645508,19.200000762939453,19.6200008392334,4263800,-2.1934129532556
2020-10-27,19.6200008392334,20.25,19.540000915527344,19.899999618530273,3603800,1.4271089058109094
2020-10-28,19.670000076293945,19.670000076293945,18.5,19.020000457763672,5551500,-3.3045227046727135
2020-10-29,19.190000534057617,20.81999969482422,19.190000534057617,20.719999313354492,10753300,7.9728959703857045
2020-10-30,20.40999984741211,21.360000610351562,19.209999084472656,19.3799991607666,9323700,-5.046549212865903
2020-11-02,21.469999313354492,22.459999084472656,20.510000228881836,20.719999313354492,19916300,-3.493246502031766
2020-11-03,21.399999618530273,22.479999542236328,20.25,22.209999084472656,11308100,3.7850443008466397
2020-11-04,24.040000915527344,27.440000534057617,23.399999618530273,27.389999389648438,50724000,13.935101275130746
2020-11-05,30.260000228881836,36.439998626708984,29.799999237060547,35.849998474121094,89538500,18.473226050751485
2020-11-06,36.31999969482422,39.5,33.18000030517578,34.810001373291016,102189400,-4.157484400387772
2020-11-09,35.43000030517578,36.189998626708984,31.280000686645508,34.06999969482422,34809300,-3.8385565866136533
2020-11-10,34.38999938964844,36.5,31.010000228881836,32.900001525878906,32340200,-4.332648706641233
2020-11-11,31.260000228881836,33.66999816894531,30.489999771118164,33.529998779296875,24899000,7.261671573238618
